employee_id,department,manager_id,review_status,rating,review_date,tenure_months,hire_type,location,high_potential_flag,promotion_recommended,gender,age,rating_label,education_level,job_level,contract_type,employment_type,performance_cycle,engagement_score,terminated,termination_date,review_timeliness
E1000,Marketing,M263,Submitted,3,2025-02-13 14:04:28.762435,72,New Hire,London,Yes,No,Female,53,Meets Expectations,Bachelor,Mid,Permanent,Full-Time,2024 H2,4.77,0,,On Time
E1001,Analytics,M253,Finalized,5,2025-05-11 14:04:28.762442,119,Internal Transfer,Berlin,No,No,Male,24,Outstanding,Master,Senior,Permanent,Full-Time,2023 H2,4.68,1,2023-12-16 14:04:28.769053,On Time
E1002,Marketing,M260,Submitted,2,2024-08-07 14:04:28.762443,34,New Hire,Singapore,No,No,Male,58,Needs Improvement,Bachelor,Mid,Permanent,Full-Time,2024 H2,3.61,0,,On Time
E1003,Admin,M223,Finalized,1,2024-08-08 14:04:28.762444,56,New Hire,Sydney,No,No,Male,32,Unsatisfactory,High School,Mid,Permanent,Part-Time,2023 H2,4.39,1,2023-09-05 14:04:28.769059,On Time
E1004,HR,M226,Submitted,5,2025-04-14 14:04:28.762445,58,New Hire,London,No,Yes,Male,41,Outstanding,Bachelor,Senior,Permanent,Full-Time,2023 H2,2.57,0,,On Time
E1005,Operations,M242,Finalized,4,2024-06-14 14:04:28.762446,48,New Hire,London,No,Yes,Female,39,Exceeds Expectations,Master,Entry,Permanent,Full-Time,2023 H2,2.84,1,2024-06-15 14:04:28.769060,On Time
E1006,Operations,M213,Not Started,3,2024-06-29 14:04:28.762447,98,Internal Transfer,Tokyo,No,No,Non-Binary,50,Meets Expectations,Master,Entry,Permanent,Full-Time,2024 H2,3.04,1,2023-06-14 14:04:28.769061,On Time
E1007,Marketing,M239,Finalized,3,2025-01-14 14:04:28.762448,107,New Hire,London,No,No,Female,24,Meets Expectations,Bachelor,Entry,Permanent,Full-Time,2024 H2,3.88,0,,On Time
E1008,Operations,M203,In Progress,2,2024-08-29 14:04:28.762449,54,New Hire,Sydney,No,No,Male,25,Needs Improvement,Master,Mid,Permanent,Full-Time,2024 H1,1.71,0,,On Time
E1009,IT,M217,In Progress,5,2024-10-05 14:04:28.762450,101,Internal Transfer,Sydney,Yes,No,Female,42,Outstanding,High School,Mid,Temporary,Full-Time,2023 H2,1.64,0,,On Time
E1010,Finance,M260,Finalized,1,2024-07-13 14:04:28.762451,39,New Hire,London,Yes,No,Male,26,Unsatisfactory,Bachelor,Mid,Permanent,Full-Time,2024 H2,3.93,0,,Late
E1011,Analytics,M206,In Progress,5,2024-08-30 14:04:28.762452,25,Internal Transfer,New York,No,No,Female,58,Outstanding,Bachelor,Mid,Temporary,Full-Time,2023 H2,3.37,0,,On Time
E1012,Analytics,M227,In Progress,2,2024-11-17 14:04:28.762453,88,New Hire,Tokyo,No,No,Female,34,Needs Improvement,Bachelor,Senior,Intern,Full-Time,2024 H2,2.04,0,,On Time
E1013,Operations,M221,Submitted,1,2024-06-30 14:04:28.762454,52,Rehire,Tokyo,No,No,Male,59,Unsatisfactory,High School,Senior,Permanent,Full-Time,2024 H1,1.81,1,2024-12-28 14:04:28.769063,On Time
E1014,Operations,M210,Submitted,5,2025-04-21 14:04:28.762455,51,Internal Transfer,London,Yes,No,Non-Binary,51,Outstanding,Bachelor,Mid,Temporary,Full-Time,2023 H2,2.69,0,,Late
